pfam02950	Conotoxin
pfam13969	Pab87 octamerisation domain
pfam01018	GTP1/OBG
pfam10895	Domain of unknown function (DUF2715)
pfam01237	Oxysterol-binding protein 
pfam13891	Potential DNA-binding domain
pfam12170	DNA polymerase III tau subunit V interacting with alpha
pfam09668	Aspartyl protease
pfam07568	Histidine kinase
pfam17602	Family of unknown function (DUF5498)
pfam19502	Nucleotidyltransferase of unknown function (DUF6036)
pfam16743	Periplasmic lysozyme inhibitor of I-type lysozyme
pfam11308	Glycosyl hydrolases related to GH101 family, GH129
pfam12521	Protein of unknown function (DUF3724) 
pfam14255	Cysteine-rich CPXCG
pfam18084	ARTD15 N-terminal domain
pfam11026	Protein of unknown function (DUF2721)
pfam01303	Egg lysin (Sperm-lysin)
pfam10199	Alpha and gamma adaptin binding protein p34
pfam04076	Bacterial OB fold (BOF) protein
pfam18965	Family of unknown function (DUF5705)
pfam01331	mRNA capping enzyme, catalytic domain
pfam15214	Peroxisomal testis-specific protein 1
pfam00104	Ligand-binding domain of nuclear hormone receptor
pfam14889	Penicillin-binding protein Tp47 domain a
pfam03990	G5-linked-Ubiquitin-like domain
pfam10691	Protein of unknown function (DUF2497) 
pfam17898	Spore germination GerD central core domain
pfam13695	Zinc-binding domain
pfam00565	Staphylococcal nuclease homologue
pfam14335	Domain of unknown function (DUF4391)
pfam14580	Leucine-rich repeat
pfam03561	Allantoicase repeat
pfam02153	Prephenate dehydrogenase
pfam12575	Poxvirus entry protein complex L1 and I2
pfam16410	Domain of unknown function (DUF5018)
pfam08660	Oligosaccharide biosynthesis protein Alg14 like
pfam07082	Protein of unknown function (DUF1350)
pfam03632	Glycosyl hydrolase family 65 central catalytic domain
pfam07893	Protein of unknown function (DUF1668)
pfam01094	Receptor family ligand binding region
pfam13489	Methyltransferase domain
pfam04392	ABC transporter substrate binding protein
pfam11009	Protein of unknown function (DUF2847)
pfam12158	Protein of unknown function (DUF3592)
pfam01251	Ribosomal protein S7e
pfam15344	FAM217 family
pfam12288	Carboxysome shell peptide mid-region
pfam08604	Nucleoporin Nup153-like
pfam18699	Mitoribosomal protein mL52 
pfam02643	Uncharacterized ACR, COG1430
pfam05293	African swine fever virus (ASFV) L11L protein
pfam02283	Cobinamide kinase / cobinamide phosphate guanyltransferase
pfam14491	Protein of unknown function (DUF4435)
pfam16224	DOmain of unknown function (DUF4883)
pfam01357	Expansin C-terminal domain
pfam08812	YtxC-like family
pfam03112	Uncharacterized protein family (ORF7) DUF
pfam02929	Beta galactosidase small chain
pfam15298	AJAP1/PANP C-terminus
pfam15746	TMEM215 family
pfam18485	Glutathione S-transferase, N-terminal domain
pfam12648	TcpE family
pfam05112	Baculovirus P47 protein
pfam00407	Pathogenesis-related protein Bet v 1 family
pfam13746	4Fe-4S dicluster domain
pfam19726	Family of unknown function (DUF6218)
pfam13298	DNA polymerase Ligase (LigD)
pfam01870	Archaeal holliday junction resolvase (hjc)
pfam17455	Late transcription unit B
pfam14820	Small proline-rich 2
pfam00730	HhH-GPD superfamily base excision DNA repair protein
pfam10470	PKA-RI-RII subunit binding domain of A-kinase anchor protein
pfam03293	Poxvirus DNA-directed RNA polymerase, 18 kD subunit
pfam02460	Patched family
pfam14506	CppA N-terminal
pfam11807	Mycotoxin biosynthesis protein UstYa
pfam07727	Reverse transcriptase (RNA-dependent DNA polymerase)
pfam08052	PyrBI operon leader peptide
pfam15489	CST, telomere maintenance, complex subunit CTC1
pfam14670	Coagulation Factor Xa inhibitory site
pfam05632	Borrelia burgdorferi protein of unknown function (DUF792)
pfam11971	CAMSAP CH domain
pfam12685	SpoIIIAH-like protein
pfam19324	LETM1 domain-containing protein LETM2 N-terminus
pfam18448	Carbohydrate binding domain
pfam13344	Haloacid dehalogenase-like hydrolase
pfam19713	Family of unknown function (DUF6208)
pfam05561	Borrelia burgdorferi protein of unknown function (DUF764)
pfam09072	Translation machinery associated TMA7
pfam15695	Rec (regulator of expression encoded by corf) of HERV-K-113
pfam04921	XAP5, circadian clock regulator
pfam04607	Region found in RelA / SpoT proteins
pfam02404	Stem cell factor
pfam12245	Bacterial Ig-like domain
pfam01620	Ribonuclease (pollen allergen)
pfam08443	RimK-like ATP-grasp domain
pfam12499	Pherophorin 
pfam09718	Lambda phage tail tape-measure protein (Tape_meas_lam_C)
pfam12189	Single-strand DNA-binding protein
pfam17449	Uncharacterized YrzK-like
pfam06781	Cell division protein CrgA
pfam04971	Bacteriophage P21 holin S 
pfam03042	Birnavirus VP5 protein
pfam09022	Staphostatin A
pfam17700	Family of unknown function (DUF5546)
pfam12311	Protein of unknown function (DUF3632)
pfam17366	A-agglutinin-binding subunit Aga2
pfam17295	Domain of unknown function (DUF5348)
pfam18354	CarS bacterial SH3 domain
pfam13458	Periplasmic binding protein
pfam09261	Alpha mannosidase middle domain
pfam01670	Glycosyl hydrolase family 12
pfam14620	YpeB sporulation
pfam17437	Family of unknown function (DUF5416)
pfam05104	Ribosome receptor lysine/proline rich region
pfam07777	G-box binding protein MFMR
pfam07232	Putative rep protein (DUF1424)
pfam10214	RNA polymerase I-specific transcription-initiation factor
pfam03453	MoeA N-terminal region (domain I and II)
pfam19374	Family of unknown function (DUF5949)
pfam15199	D-amino acid oxidase activator
pfam11921	Domain of unknown function (DUF3439)
pfam11607	Protein of unknown function (DUF3247)
pfam10420	Cytokine interleukin-12p40 C-terminus
pfam09367	CpeS-like protein
pfam02412	Thrombospondin type 3 repeat
pfam05832	Eukaryotic protein of unknown function (DUF846)
pfam14870	Photosynthesis system II assembly factor YCF48
pfam12885	Transducer of regulated CREB activity middle domain
pfam12217	Catalytic beta propeller domain of bacteriophage endosialidase
pfam12038	Domain of unknown function (DUF3524)
pfam17764	3'DNA-binding domain (3'BD)
pfam18756	Nucleotide modification associated domain 4
pfam18097	Vta1 C-terminal domain
pfam06954	Resistin
pfam01506	Hepatitis C virus non-structural 5a protein membrane anchor
pfam15895	CAAX box cerebral protein 1
pfam04807	Geminivirus AC4/5 conserved region
pfam02033	Ribosome-binding factor A
pfam05160	DSS1/SEM1 family
pfam12259	Baculovirus F protein
pfam01820	D-ala D-ala ligase N-terminus
pfam09436	Domain of unknown function (DUF2016)
pfam16544	Homodimerisation region of STAR domain protein
pfam02001	Protein of unknown function  DUF134
pfam19776	Family of unknown function (DUF6262)
pfam13895	Immunoglobulin domain
pfam10969	Protein of unknown function (DUF2771)
pfam10891	Protein of unknown function (DUF2719)
pfam18195	GatD N-terminal domain
pfam19598	Family of unknown function (DUF6103)
pfam17698	Family of unknown function (DUF5544)
pfam16274	Qua1 domain
pfam14319	Transposase zinc-binding domain
pfam02979	Nitrile hydratase, alpha chain
pfam08860	Domain of unknown function (DUF1827)
pfam03160	Calx-beta domain
pfam14181	YqfQ-like protein
pfam08132	S-adenosyl-l-methionine decarboxylase leader peptide
pfam09593	Beta-satellite pathogenicity beta C1 protein
pfam07693	KAP family P-loop domain
pfam03832	WSK motif
pfam06361	Rice tungro bacilliform virus P12 protein
pfam14357	Domain of unknown function (DUF4404)
pfam01491	Frataxin-like domain
pfam17786	Mannosidase Ig/CBM-like domain
pfam08804	gp32 DNA binding protein like
pfam03104	DNA polymerase family B, exonuclease domain
pfam00990	Diguanylate cyclase, GGDEF domain
pfam13199	Glycosyl hydrolase family 66
pfam18961	Domain of unknown function (DUF5703)
pfam05453	BmTXKS1/BmP02 toxin family
pfam18899	Domain of unknown function (DUF5655)
pfam01580	FtsK/SpoIIIE family
pfam01335	Death effector domain
pfam02843	Phosphoribosylglycinamide synthetase, C domain
pfam05042	Caleosin related protein
pfam16462	Phage tail assembly chaperone protein, TAC
pfam04009	Protein of unknown function (DUF356)
pfam09787	Golgin subfamily A member 5
pfam14251	Domain of unknown function (DUF4346)
pfam08612	TATA-binding related factor (TRF) of subunit 20 of Mediator complex
pfam15458	Nineteen complex-related protein 2
pfam06267	Family of unknown function (DUF1028)
pfam14094	Domain of unknown function (DUF4272)
pfam11392	Protein of unknown function (DUF2877)
pfam12848	ABC transporter
pfam12525	Protein of unknown function (DUF3726) 
pfam17384	RimP C-terminal SH3 domain
pfam07369	Protein of unknown function (DUF1488)
pfam02186	TFIIE beta subunit core domain
pfam16634	Unstructured region on APC between APC_crr and SAMP
pfam03755	YicC-like family, N-terminal region 
pfam02987	Late embryogenesis abundant protein
pfam00751	DM DNA binding domain
pfam05997	Nucleolar protein,Nop52
pfam14905	Outer membrane protein beta-barrel family
pfam05196	PTN/MK heparin-binding protein family, N-terminal domain
pfam13427	Domain of unknown function (DUF4111)
pfam19447	Family of unknown function (DUF5985)
pfam03061	Thioesterase superfamily
pfam14080	Domain of unknown function (DUF4261)
pfam17390	Bacterial alpha-L-rhamnosidase C-terminal domain
pfam08759	Glycosyltransferase GT-D fold
pfam09242	Flavocytochrome c sulphide dehydrogenase, flavin-binding
pfam03222	Tryptophan/tyrosine permease family
pfam12075	KN motif
pfam16114	ATP citrate lyase citrate-binding
pfam19439	CLEC16A C-terminal
pfam02256	Iron hydrogenase small subunit
pfam09779	Ima1 N-terminal domain
pfam09682	Bacteriophage holin of superfamily 6 (Holin_LLH)
pfam01594	AI-2E family transporter
pfam08717	Coronavirus replicase NSP8
pfam00984	UDP-glucose/GDP-mannose dehydrogenase family, central domain
pfam12177	Prohormone convertase enzyme
pfam01230	HIT domain
pfam04316	Anti-sigma-28 factor, FlgM
pfam08552	Inositolphosphorylceramide synthase subunit Kei1
pfam12976	Domain of Unknown Function with PDB structure (DUF3860)
pfam00167	Fibroblast growth factor
pfam18942	Family of unknown function (DUF5689)
pfam02100	Ornithine decarboxylase antizyme
pfam15427	S100P-binding protein
pfam05061	Poxvirus A11 Protein
pfam16441	Domain of unknown function (DUF5038)
pfam07789	Protein of unknown function (DUF1627)
pfam09572	XamI restriction endonuclease
pfam07672	Mycoplasma MFS transporter
pfam05222	Alanine dehydrogenase/PNT, N-terminal domain
pfam11702	Protein of unknown function (DUF3295)
pfam04714	BCL7, N-terminal conserver region
pfam08896	Domain of unknown function (DUF1842)
pfam03196	Protein of unknown function, DUF261
pfam07822	Neurotoxin B-IV-like protein
pfam03997	VPS28 protein
pfam01378	B domain
pfam10174	RIM-binding protein of the cytomatrix active zone
pfam06342	Alpha/beta hydrolase of unknown function (DUF1057)
pfam14328	Domain of unknown function (DUF4385)
pfam14006	YqzL-like protein
pfam05755	Rubber elongation factor protein (REF)
pfam11373	Protein of unknown function (DUF3175)
pfam14378	PAP2 superfamily
pfam10124	Mu-like prophage major head subunit gpT
pfam02918	Pertussis toxin, subunit 2 and 3, C-terminal domain
pfam18597	Myosin X N-terminal SH3 domain
pfam11714	Thrombin inhibitor Madanin  
pfam12538	DNA transporter 
pfam01006	Hepatitis C virus non-structural protein NS4a
pfam07872	Protein of unknown function (DUF1659)
pfam12913	SH3 domain (SH3b1 type)
pfam02501	Type II secretion system (T2SS), protein I
pfam02533	Photosystem II 4 kDa reaction centre component
pfam16044	Domain of unknown function (DUF4796)
pfam01328	Peroxidase, family 2
pfam05464	Phi-29-like late genes activator (early protein GP4)
pfam03486	HI0933-like protein
pfam09522	R.Pab1 restriction endonuclease
pfam03542	Tuberin
pfam07622	Protein of unknown function (DUF1583)
pfam08696	DNA replication factor Dna2
pfam15477	Small acidic protein family
pfam05737	Collagen binding domain
pfam11316	Putative rhamnosyl transferase 
pfam05272	Virulence-associated protein E
pfam13952	Domain of unknown function (DUF4216)
pfam14230	Domain of unknown function (DUF4333)
pfam18783	Isopullulanase beta-solenoid repeat
pfam12926	Mitotic-spindle organizing gamma-tubulin ring associated
pfam05400	Flagellar protein FliT
pfam05749	Rubella membrane glycoprotein E2
pfam04702	Vicilin N terminal region
pfam12127	SigmaW regulon antibacterial
pfam08788	NHR2 domain like
pfam09729	Gti1/Pac2 family
pfam03749	Sugar fermentation stimulation protein RE domain
pfam06963	Ferroportin1 (FPN1)
pfam03400	IS1 transposase
pfam01080	Presenilin
pfam16834	Shu complex component Csm2, DNA-binding
pfam07758	Protein of unknown function (DUF1614)
pfam03737	Aldolase/RraA
pfam13477	Glycosyl transferase 4-like
pfam04509	CheC-like family
pfam16968	Pilus assembly protein TadZ N-terminal
pfam05542	Protein of unknown function (DUF760)
pfam12340	Protein of unknown function (DUF3638)
pfam12025	Phage protein C
pfam15952	Enhancer of split M4 family
pfam14594	Siphovirus ReqiPepy6 Gp37-like protein
pfam03272	Putative mucin or carbohydrate-binding module
pfam17753	Ig-fold domain
pfam19098	Family of unknown function (DUF5785)
pfam03464	eRF1 domain 2
pfam08368	FAST kinase-like protein, subdomain 2
pfam05486	Signal recognition particle 9 kDa protein (SRP9)
pfam08745	PINc domain ribonuclease
pfam09093	Lyase, catalytic
pfam02496	ABA/WDS induced protein
pfam09882	Predicted membrane protein (DUF2109)
pfam16102	ACTH-associated domain
pfam01905	CRISPR-associated negative auto-regulator DevR/Csa2
pfam18363	Phosphoinositide phosphatase insertion domain
pfam19415	Astrovirus transmembrane protein 1A
pfam04864	Allinase
pfam11600	Chromatin assembly factor 1 complex p150 subunit, N-terminal
pfam04513	Baculovirus polyhedron envelope protein, PEP, C terminus 
pfam14901	Cleavage inducing molecular chaperone
pfam06483	Chitinase C
pfam17430	Uncharacterized YqgC-like
pfam14627	Domain of unknown function (DUF4453)
pfam12424	Plasma membrane calcium transporter ATPase C terminal
pfam14933	CEP19-like protein
pfam08069	Ribosomal S13/S15 N-terminal domain
pfam01677	Herpesvirus UL7 like
pfam00755	Choline/Carnitine o-acyltransferase
pfam14518	Iron-containing redox enzyme
pfam09304	Cortexillin I, coiled coil
pfam16488	Argonaute linker 2 domain 
pfam19399	Family of unknown function (DUF5974)
pfam17707	Family of unknown function (DUF5553)
pfam04938	Survival motor neuron (SMN) interacting protein 1 (SIP1)
pfam15174	Prion-related protein testis-specific
pfam04526	Protein of unknown function (DUF568)
pfam01827	FTH domain
pfam05167	Uncharacterised ACR (DUF711)
pfam05966	Chordopoxvirus A33R protein
pfam03984	Repeat of unknown function (DUF346)  
pfam19014	Family of unknown function (DUF5743)
pfam04800	ETC complex I subunit conserved region
pfam12210	Hepatocyte growth factor-regulated tyrosine kinase substrate
pfam09706	CRISPR-associated protein (Cas_CXXC_CXXC)
pfam18090	Centromere-binding protein HTH domain 
pfam12071	Protein of unknown function (DUF3551)
pfam03065	Glycosyl hydrolase family 57
pfam09360	Iron-binding zinc finger CDGSH type
pfam00061	Lipocalin / cytosolic fatty-acid binding protein family
pfam10427	Argonaute hook
pfam14877	Mitochondrial translation initiation factor
pfam11576	FeGP cofactor biosynthesis protein HcgB, guanylyltransferase
pfam11798	IMS family HHH motif
pfam14350	Beta protein
pfam11246	Base plate wedge protein 53
pfam16299	Domain of unknown function (DUF4941)
pfam02994	L1 transposable element RBD-like domain
pfam16445	Domain of unknown function (DUF5042)
pfam05065	Phage capsid family 
pfam03966	Trm112p-like protein
pfam05984	Cytomegalovirus UL20A protein
pfam01793	Glycolipid 2-alpha-mannosyltransferase
pfam03167	Uracil DNA glycosylase superfamily
pfam08867	FRG domain
pfam11686	Protein of unknown function (DUF3283)
pfam18624	CDI immunity protein
pfam05751	FixH
pfam06260	Protein of unknown function (DUF1024)
pfam01029	NusB family
pfam13174	Tetratricopeptide repeat
pfam18874	QPE domain
pfam04886	PT repeat
pfam14079	Domain of unknown function (DUF4260)
pfam19854	Family of unknown function (DUF6329)
pfam00196	Bacterial regulatory proteins, luxR family
pfam00997	Kappa casein
pfam16459	Phage tail assembly chaperone, TAC
pfam02505	Methyl-coenzyme M reductase operon protein D
pfam00486	Transcriptional regulatory protein, C terminal
pfam14029	Protein of unknown function (DUF4244)
pfam16417	CCR4-NOT transcription complex subunit 1 TTP binding domain
pfam01079	Hint module
pfam08667	BetR domain
pfam06212	GRIM-19 protein
pfam11886	Translocase of chloroplast 159/132, membrane anchor domain
pfam18824	Large polyvalent protein-associated domain 11
pfam14587	O-Glycosyl hydrolase family 30
pfam13124	Protein of unknown function (DUF3963)
pfam19144	Family of unknown function (DUF5826)
pfam18674	TarS beta-glycosyltransferase C-terminal domain 1
pfam04246	Positive regulator of sigma(E), RseC/MucC
pfam01350	Flavivirus non-structural protein NS4A
pfam04798	Baculovirus 19 kDa protein conserved region
pfam07944	Beta-L-arabinofuranosidase, GH127
pfam10952	Protein of unknown function (DUF2753)
pfam04686	Streptomyces sporulation and cell division protein, SsgA
pfam00542	Ribosomal protein L7/L12 C-terminal domain
pfam14793	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidases
pfam19654	Family of unknown function (DUF6157)
pfam17554	Family of unknown function (DUF5466)
pfam18566	Linalool dehydratase/isomerase
pfam12021	Protein of unknown function (DUF3509)
pfam02467	Transcription factor WhiB
pfam04664	Opioid growth factor receptor (OGFr) conserved region
pfam09312	SurA N-terminal domain
pfam11800	Replication protein C C-terminal region
pfam00272	Cecropin family
pfam00737	Photosystem II 10 kDa phosphoprotein
pfam11526	Subunit of cleavage factor IA Pcf11
pfam12262	Bacterial virulence factor lipase N-terminal
pfam18584	Synaptonemal complex 2 Spt16M-like domain
pfam14827	Double sensory domain of two-component sensor kinase
pfam10477	Nucleocytoplasmic shuttling protein for mRNA cap-binding EIF4E
pfam01877	RNA binding
pfam04576	Zein-binding
pfam00749	tRNA synthetases class I (E and Q), catalytic domain
pfam02336	Capsid protein VP4
pfam00400	WD domain, G-beta repeat
pfam01901	Putative O-antigen polymerase
pfam01627	Hpt domain
pfam16198	tRNA pseudouridylate synthase B C-terminal domain
pfam01933	2-phospho-L-lactate transferase CofD
pfam19411	Cell cycle link protein Clink
pfam15124	FANCD2 opposite strand protein
pfam11864	Domain of unknown function (DUF3384)
pfam17063	Phenol-soluble modulin alpha peptide family
pfam11513	Thermoplasma acidophilum protein TA0956
pfam00464	Serine hydroxymethyltransferase
pfam08741	YwhD family
pfam06193	Orthopoxvirus A5L protein-like
pfam11938	TLR4 regulator and MIR-interacting MSAP
pfam02734	DAK2 domain
pfam19002	Family of unknown function (DUF5731)
pfam07068	Major capsid protein Gp23
pfam07720	Tetratricopeptide repeat
pfam01518	Sigma NS protein
pfam12474	Polo kinase kinase 
pfam14677	FANCI solenoid 3
pfam08610	Peroxisomal membrane protein (Pex16)
pfam13931	Kinesin-associated microtubule-binding
pfam10935	Protein of unknown function (DUF2637)
pfam16460	Phage tail tube, TTP, lambda-like
pfam13903	PMP-22/EMP/MP20/Claudin tight junction
pfam05325	Protein of unknown function (DUF730)
pfam14758	Non-essential region of nsp2 of arterivirus polyprotein 
pfam03511	Fanconi anaemia group A protein
pfam11390	NADH-dependant formate dehydrogenase delta subunit FdsD
pfam00515	Tetratricopeptide repeat
pfam00992	Troponin
pfam17509	Family of unknown function (DUF5440)
pfam19609	Family of unknown function (DUF6114)
pfam03908	Sec20
pfam09694	Bacterial protein of unknown function (Gcw_chp)
pfam04753	Coronavirus non-structural protein NS12.7 family
pfam01582	TIR domain
pfam01446	Replication protein
pfam09388	Spo0E like sporulation regulatory protein
pfam03830	PTS system sorbose subfamily IIB component
pfam08130	Type A lantibiotic family
pfam06245	Protein of unknown function (DUF1015)
pfam16404	Domain of unknown function (DUF5012)
pfam01369	Sec7 domain
pfam06685	Protein of unknown function (DUF1186)
pfam19383	Family of unknown function (DUF5958)
pfam03162	Tyrosine phosphatase family
pfam08862	Domain of unknown function DUF1829
pfam10846	Protein of unknown function (DUF2722)
pfam07378	Flagellar protein FlbT
pfam01822	WSC domain
pfam05162	Ribosomal protein L41
pfam14872	Hypothetical glycoside hydrolase 5
pfam05830	Nodulation protein Z (NodZ)
pfam17373	Family of unknown function (DUF5395)
pfam02410	Ribosomal silencing factor during starvation 
pfam10422	Monopolin complex subunit LRS4
pfam06575	Protein of unknown function (DUF1132)
pfam16153	Domain of unknown function (DUF4861)
pfam08329	Chitinase A, N-terminal domain
pfam00227	Proteasome subunit
pfam05908	Poly-gamma-glutamate hydrolase
pfam06648	Protein of unknown function (DUF1160)
pfam19763	Domain of unknown function (DUF6250)
pfam14622	Ribonuclease-III-like
pfam16929	Accessory Sec system GspB-transporter
pfam10036	RNA transcription, translation and transport factor protein
pfam02224	Cytidylate kinase
pfam16283	Domain of unknown function (DUF4929)
pfam07230	Bacteriophage T4-like portal protein (Gp20)
pfam09345	SiaC family regulatory phosphoprotein
pfam17702	Family of unknown function (DUF5548)
pfam03325	Herpesvirus polymerase accessory protein
pfam09768	Peptidase M76 family
pfam09020	YopE, N terminal
pfam03040	CemA family
pfam00321	Plant thionin
pfam16643	Unstructured region on cNMP-binding protein
pfam15903	Filopodia upregulated, FAM65
pfam15931	Domain of unknown function (DUF4747)
pfam01672	Putative plasmid partition protein
pfam01789	PsbP
pfam06288	Protein of unknown function (DUF1040)
pfam05511	Mitochondrial ATP synthase coupling factor 6
pfam09211	Domain of unknown function (DUF1958)
pfam09070	PFU (PLAA family ubiquitin binding)
pfam17316	Perilipin protein
pfam12361	Duffy-antigen binding protein 
pfam05630	Necrosis inducing protein (NPP1)
pfam16979	SAPK-interacting protein 1 (Sin1), Pleckstrin-homology
pfam14672	Late cornified envelope 
pfam14789	Tetrahydrodipicolinate N-succinyltransferase middle
pfam19007	Family of unknown function (DUF5736)
pfam10264	Winged helix Storkhead-box1 domain
pfam08050	Tetracycline resistance leader peptide
pfam02274	Arginine deiminase
pfam06525	Sulfocyanin (SoxE) domain
pfam10472	eIF2-alpha phosphatase phosphorylation constitutive repressor
pfam06848	Disaggregatase related repeat
pfam17323	Trans-membrane regulatory protein ToxS
pfam17714	Family of unknown function (DUF5559)
pfam00732	GMC oxidoreductase
pfam12267	Protein of unknown function (DUF3614)
pfam14822	Vasohibin
pfam00277	Serum amyloid A protein
pfam02462	Opacity family porin protein
pfam08379	Bacterial transglutaminase-like N-terminal region
pfam09317	Domain of unknown function (DUF1974)
pfam16843	Binding domain to Get4 on Get5, Golgi to ER traffic protein 
pfam07328	T-DNA border endonuclease VirD1
pfam13791	Sigma factor regulator C-terminal
pfam05110	AF-4 proto-oncoprotein N-terminal region
pfam10795	Protein of unknown function (DUF2607)
pfam01872	RibD C-terminal domain
pfam10200	NADH:ubiquinone oxidoreductase, NDUFS5-15kDa
pfam07006	Protein of unknown function (DUF1310)
pfam09359	VTC domain
pfam03110	SBP domain
pfam15791	Doublesex-and mab-3-related transcription factor C1 and C2
pfam08810	Kinase associated protein B
pfam00539	Transactivating regulatory protein (Tat)
pfam14369	zinc-ribbon
pfam14446	Prokaryotic RING finger family 1
pfam19809	Family of unknown function (DUF6292)
pfam00547	Urease, gamma subunit
pfam07905	Purine catabolism regulatory protein-like family
pfam10156	Subunit 17 of Mediator complex
pfam06311	NUMB domain
pfam09894	Uncharacterized protein conserved in archaea (DUF2121)
pfam12781	ATP-binding dynein motor region
pfam06189	5'-nucleotidase
pfam10957	Sporulation protein Cse60 
pfam04390	Lipopolysaccharide-assembly
pfam16001	Domain of unknown function (DUF4775)
pfam01758	Sodium Bile acid symporter family
pfam02544	3-oxo-5-alpha-steroid 4-dehydrogenase 
pfam16033	Domain of unknown function (DUF4789)
pfam07080	Protein of unknown function (DUF1348)
pfam18911	PKD domain
pfam03630	Fumble 
pfam06259	Alpha/beta hydrolase
pfam08503	Tetrahydrodipicolinate succinyltransferase N-terminal
pfam12954	Protein of unknown function (DUF3843)
pfam08531	Alpha-L-rhamnosidase N-terminal domain
pfam14582	Metallophosphoesterase, calcineurin superfamily
pfam11753	Protein of unknwon function (DUF3310)
pfam05375	Pacifastin inhibitor (LCMII)
pfam06217	GAGA binding protein-like family
pfam08662	Eukaryotic translation initiation factor eIF2A
pfam18508	Zinc finger domain
pfam19105	Family of unknown function (DUF5792)
pfam10646	Sporulation and spore germination
pfam16412	Domain of unknown function (DUF5020)
pfam18656	Family of unknown function (DUF5633)
pfam19813	Family of unknown function (DUF6296)
pfam17664	Cilia- and flagella-associated protein HOATZ-like
pfam19564	Family of unknown function (DUF6086)
pfam15036	Interleukin 34
pfam03992	Antibiotic biosynthesis monooxygenase
pfam07827	KNTase C-terminal domain
pfam00908	dTDP-4-dehydrorhamnose 3,5-epimerase
pfam06339	Ectoine synthase
pfam00511	E2 (early) protein, C terminal
pfam09818	Predicted ATPase of the ABC class
pfam19676	Family of unknown function (DUF6178)
pfam03515	Colicin-like bacteriocin tRNase domain
pfam17576	Family of unknown function (DUF5480)
pfam10931	Protein of unknown function (DUF2735)
pfam13935	Ead/Ea22-like protein
pfam10903	Protein of unknown function (DUF2691)
pfam06347	Bacterial SH3 domain
pfam05321	Haemolysin expression modulating protein
pfam00162	Phosphoglycerate kinase
pfam01770	Reduced folate carrier
pfam18947	HAMP domain
pfam18146	Damage-inducible protein CinA KH domain
pfam11430	Programmed cell death activator EGL-1
pfam19826	Family of unknown function (DUF6307)
pfam13846	Domain of unknown function (DUF4196)
pfam08557	Sphingolipid Delta4-desaturase (DES)
pfam19500	Family of unknown function (DUF6035)
pfam17600	Family of unknown function (DUF5496)
pfam12172	Rubredoxin-like zinc ribbon domain (DUF35_N)
pfam04063	Domain of unknown function (DUF383)
pfam06681	Protein of unknown function (DUF1182)
pfam18939	Family of unknown function (DUF5686)
pfam11707	Ribosome 60S biogenesis N-terminal
pfam06241	Castor and Pollux, part of voltage-gated ion channel
pfam05227	CHASE3 domain
pfam08519	Replication factor RFC1 C terminal domain
pfam09577	Sporulation protein YpjB (SpoYpjB)
pfam07677	A-macroglobulin receptor binding domain
pfam14068	Putative membrane protein
pfam00830	Ribosomal L28 family
pfam14720	NiFe/NiFeSe hydrogenase small subunit C-terminal
pfam18073	Rubredoxin metal binding domain
pfam03227	Gamma interferon inducible lysosomal thiol reductase (GILT)
pfam09247	TATA box-binding protein binding
pfam09058	L27_1
pfam07029	CryBP1 protein
pfam13422	Domain of unknown function (DUF4110)
pfam19442	Cysteine-rich motor neuron 1 protein C-terminal
pfam15846	Domain of unknown function (DUF4720)
pfam12456	Inositol phosphatase 
pfam09239	Topoisomerase VI B subunit, transducer
pfam08078	PsaX family
pfam19053	EccD-like transmembrane domain
pfam09687	Plasmodium RESA N-terminal
pfam07587	Protein of unknown function (DUF1553)
pfam08712	Scaffold protein Nfu/NifU N terminal
pfam02982	Scytalone dehydratase
pfam05515	Viral nucleic acid binding 
pfam00325	Bacterial regulatory proteins, crp family
pfam03321	GH3 auxin-responsive promoter
pfam09341	Transcription factor Pcc1
pfam00040	Fibronectin type II domain
pfam17246	Cell division control protein 24, OB domain 1
pfam15935	RNase LS, bacterial toxin
pfam17798	TRIF N-terminal domain
pfam13036	Peptidoglycan-synthase activator LpoB
pfam19586	Family of unknown function (DUF6093)
pfam17686	Family of unknown function (DUF5534)
pfam06120	Tail length tape measure protein
pfam14944	Tongue Cancer Chemotherapy Resistant Protein 1
pfam07793	Protein of unknown function (DUF1631)
pfam04554	Extensin-like region
pfam05992	SbmA/BacA-like family
pfam02743	Cache domain
pfam18799	Large polyvalent protein-associated domain 5
pfam06170	Protein of unknown function (DUF983)
pfam07350	Protein of unknown function (DUF1479)
pfam15286	Apoptosis regulator M11, B cell 2 leukaemia/lymphoma like
pfam08704	tRNA methyltransferase complex GCD14 subunit
pfam13264	Domain of unknown function (DUF4055)
pfam12296	Hydrophobic surface binding protein A
pfam16906	Ribosomal proteins L26 eukaryotic, L24P archaeal
pfam15646	Restriction endonuclease fold toxin 2
pfam12365	Protein of unknown function (DUF3649) 
pfam11554	Protein of unknown function (DUF3232)
pfam16107	Domain of unknown function (DUF4825)
pfam18016	SAM domain (Sterile alpha motif)
pfam09887	Uncharacterized protein conserved in archaea (DUF2114)
pfam09215	Bacteriophage T4, Gp8
pfam03371	PRP38 family
pfam01944	Stage II sporulation protein M
pfam00375	Sodium:dicarboxylate symporter family
pfam08028	Acyl-CoA dehydrogenase, C-terminal domain
